Name,Age,Gender,Occupation,Income,Purchased
Karen,34.0,Female,Engineer,68094.0,Yes
,53.0,Female,Doctor,124541.0,Yes
Jennifer,36.0,Male,Engineer,76944.0,No
Amanda,51.0,Male,Lawyer,107601.0,No
,58.0,Female,Doctor,115636.0,No
,49.0,Female,Doctor,125360.0,Yes
Joseph,43.0,Male,Teacher,58896.0,No
Diane,56.0,Female,,,No
,48.0,Female,Teacher,48021.0,No
Shannon,35.0,Male,Lawyer,88292.0,Yes
Felicia,33.0,Male,Teacher,,No
,,Male,Lawyer,95655.0,No
Jessica,52.0,Male,Nurse,58019.0,No
Dawn,36.0,Female,Teacher,53657.0,No
Amy,24.0,Male,Doctor,111889.0,No
Christina,59.0,Male,Lawyer,92995.0,Yes
,53.0,Female,Lawyer,72911.0,Yes
Lisa,60.0,Female,Nurse,77014.0,No
Carmen,,Female,Doctor,138435.0,Yes
Jacqueline,59.0,Female,Lawyer,93951.0,Yes
Catherine,51.0,Female,Engineer,97730.0,No
Christopher,46.0,Male,Lawyer,110663.0,No
Samuel,46.0,Female,Engineer,72371.0,No
Jacqueline,42.0,Male,Artist,57515.0,Yes
Luis,53.0,Female,,62645.0,Yes
Veronica,23.0,Female,Artist,40404.0,Yes
Jody,48.0,Female,Lawyer,98929.0,No
Anthony,33.0,Female,Artist,43227.0,Yes
Erica,46.0,Male,Engineer,82334.0,Yes
John,54.0,Female,Doctor,111818.0,Yes
Amanda,26.0,Female,Lawyer,72487.0,No
,57.0,Female,Nurse,59874.0,No
Jacob,42.0,,Artist,46308.0,Yes
Joel,,Female,Nurse,54815.0,Yes
Joshua,41.0,,,39397.0,No
Meghan,44.0,Male,Lawyer,90483.0,Yes
,,Female,Engineer,63772.0,No
,32.0,Female,Teacher,,No
James,45.0,Male,Lawyer,79870.0,Yes
Brianna,30.0,Female,Engineer,,Yes
Lisa,36.0,Male,Artist,42320.0,No
Amy,35.0,Male,,57665.0,Yes
Joshua,41.0,Female,Teacher,57331.0,No
Christopher,37.0,Female,Nurse,68382.0,Yes
,56.0,Female,Nurse,60237.0,No
Meredith,23.0,Female,Doctor,140606.0,No
Kimberly,43.0,Male,Artist,53759.0,No
Amy,44.0,Female,,149860.0,Yes
Diane,,,Artist,51075.0,No
Cynthia,36.0,Male,Artist,,Yes
Denise,48.0,Female,Nurse,60479.0,Yes
Kevin,38.0,Female,Nurse,60996.0,No
Amy,31.0,Female,Engineer,84809.0,Yes
Kenneth,48.0,Female,Teacher,46518.0,Yes
Robert,37.0,Male,Lawyer,79782.0,No
Daniel,27.0,Male,Engineer,69455.0,Yes
Steven,31.0,Male,Nurse,67559.0,Yes
Jean,,Male,Artist,65642.0,No
Dana,56.0,Male,Artist,64184.0,No
Samantha,49.0,Male,Teacher,48130.0,Yes
Monica,51.0,Female,Artist,60934.0,Yes
Mariah,39.0,Female,Doctor,112672.0,Yes
Donald,,Female,Teacher,49508.0,No
Lori,32.0,Male,Doctor,,Yes
Rose,26.0,Male,Engineer,,Yes
Melissa,54.0,Female,Lawyer,82056.0,No
Megan,26.0,Female,Lawyer,,Yes
Anthony,,Male,,55061.0,No
Julie,37.0,Male,Teacher,35498.0,No
Kent,43.0,Male,Engineer,65820.0,No
,52.0,Female,Teacher,41740.0,Yes
Candice,,Male,Engineer,90661.0,Yes
Cristina,58.0,Female,Artist,50695.0,Yes
James,51.0,Female,Teacher,57027.0,No
Christopher,44.0,,Teacher,47010.0,No
,58.0,Male,Teacher,45082.0,Yes
Benjamin,36.0,Female,Artist,,Yes
,49.0,Female,Nurse,76683.0,Yes
Vincent,34.0,Male,Engineer,90329.0,No
Kimberly,27.0,Male,Artist,68176.0,No
Chad,26.0,Female,Lawyer,93500.0,Yes
Stephanie,37.0,Male,Artist,42530.0,No
,,Female,Teacher,47551.0,Yes
Ethan,53.0,Male,Teacher,37936.0,No
Sarah,58.0,Male,Nurse,76500.0,Yes
Donna,33.0,Male,Engineer,96056.0,Yes
Steven,30.0,Female,,97433.0,No
Heather,59.0,Female,Teacher,54824.0,No
Anthony,34.0,Male,Doctor,83997.0,Yes
,,Female,Lawyer,,No
Darrell,59.0,,Lawyer,81357.0,No
Morgan,22.0,Male,Teacher,44816.0,No
Angela,,Female,Lawyer,97166.0,No
Alexandria,24.0,Female,Teacher,52431.0,Yes
Tara,56.0,Female,,93378.0,Yes
Brenda,54.0,Female,Lawyer,79302.0,No
Brian,29.0,Male,Artist,53476.0,Yes
Melissa,44.0,Female,,46099.0,Yes
Renee,34.0,Female,Nurse,55651.0,Yes
David,33.0,Female,Lawyer,89386.0,No
Aaron,56.0,Male,Nurse,55083.0,Yes
Maria,43.0,Female,Lawyer,84268.0,No
Kathleen,53.0,Male,Artist,60966.0,No
Adrian,33.0,Female,Teacher,,Yes
Cesar,,Male,Lawyer,107087.0,Yes
Steven,52.0,Female,Lawyer,100970.0,Yes
Michelle,36.0,Female,Artist,62458.0,No
Amy,54.0,Male,Lawyer,117721.0,No
Melissa,,Male,Teacher,52780.0,Yes
,30.0,Female,Artist,54073.0,Yes
Jay,23.0,Male,Engineer,95987.0,No
Kimberly,58.0,Male,Artist,67684.0,Yes
Jennifer,,Female,Doctor,115910.0,Yes
Christine,47.0,Male,Teacher,53466.0,No
Tammy,,Male,,56236.0,Yes
Stephen,36.0,Male,Lawyer,90490.0,Yes
Stephanie,28.0,Male,Teacher,42882.0,No
Angela,25.0,Male,Engineer,99963.0,Yes
,41.0,Female,Teacher,39731.0,Yes
,24.0,,Lawyer,92364.0,No
Sandra,60.0,Female,Teacher,57398.0,Yes
Sarah,36.0,Male,Engineer,90047.0,No
Anthony,59.0,Male,Engineer,99619.0,Yes
Crystal,30.0,Female,Engineer,99607.0,No
Trevor,27.0,Male,Artist,54572.0,Yes
Ashley,28.0,Female,Doctor,128343.0,No
Justin,,Male,Artist,58059.0,No
Bethany,31.0,Female,Doctor,98369.0,Yes
Benjamin,24.0,Male,,41748.0,No
Joshua,,Male,Lawyer,114417.0,Yes
Nathan,46.0,Male,,80128.0,Yes
Stacey,46.0,Female,Doctor,146644.0,Yes
Michael,41.0,Male,Doctor,129843.0,Yes
Amy,35.0,,Artist,41857.0,No
Daniel,33.0,Female,Artist,55257.0,No
Ashley,46.0,Male,Nurse,79132.0,Yes
Joshua,29.0,Female,Doctor,134207.0,No
Daniel,35.0,Female,Nurse,75943.0,No
Lauren,29.0,,Nurse,60057.0,Yes
George,23.0,Female,Artist,58310.0,No
Kristy,53.0,Female,Engineer,62140.0,No
Anthony,48.0,Female,Nurse,76197.0,Yes
Patrick,,Female,,64739.0,No
Vanessa,38.0,,Artist,60786.0,No
Lawrence,37.0,Female,Artist,54830.0,Yes
Alicia,53.0,Female,Doctor,84833.0,Yes
Nicolas,49.0,Female,Lawyer,106701.0,Yes
Kimberly,54.0,Female,Lawyer,87428.0,No
Michael,30.0,Female,Artist,47834.0,Yes
Craig,43.0,Male,Artist,55315.0,No
Diane,31.0,Female,Teacher,39436.0,No
Julian,32.0,Female,Engineer,82979.0,No
,35.0,Male,,101980.0,No
Jeremiah,46.0,Male,Teacher,35820.0,Yes
Monica,45.0,,Nurse,,No
Stacey,31.0,Male,Nurse,72051.0,Yes
Madison,27.0,Female,Artist,67575.0,No
Christopher,39.0,Female,Doctor,100782.0,No
Brandy,51.0,Female,Nurse,66749.0,Yes
Andrea,34.0,Female,Teacher,44652.0,No
Jose,34.0,Female,Teacher,41044.0,Yes
Jose,37.0,Female,,98038.0,Yes
Victor,54.0,Male,Engineer,60210.0,Yes
Mary,45.0,Female,Teacher,42535.0,No
William,50.0,Male,Artist,59965.0,No
Raymond,58.0,,Teacher,40621.0,Yes
James,26.0,Male,Teacher,59197.0,Yes
Gabriel,40.0,Male,,47414.0,No
Eric,28.0,Female,Doctor,141367.0,Yes
Tonya,22.0,Male,,62600.0,Yes
David,34.0,Male,Engineer,92309.0,No
Dominique,49.0,Male,Lawyer,104432.0,Yes
Bradley,23.0,Male,Nurse,68216.0,No
Courtney,44.0,Male,Doctor,,No
Kathleen,49.0,Female,Nurse,54989.0,Yes
Kathryn,,Female,Nurse,,Yes
Olivia,38.0,Male,,57647.0,Yes
Susan,54.0,Female,Nurse,,Yes
Kyle,,Male,Lawyer,88540.0,No
Tina,46.0,Female,Teacher,42085.0,No
Anna,29.0,Female,Doctor,84384.0,No
Isaac,39.0,Female,Doctor,92363.0,Yes
Sandra,49.0,Male,Lawyer,86763.0,No
Patrick,36.0,Male,Nurse,67503.0,Yes
George,36.0,Male,Lawyer,113410.0,Yes
Tony,55.0,Male,Teacher,50960.0,Yes
Elizabeth,,Female,Doctor,87832.0,Yes
Erin,43.0,Female,,62653.0,Yes
Brian,36.0,Male,Doctor,97644.0,Yes
James,57.0,Male,Lawyer,93969.0,Yes
Michael,43.0,Female,Doctor,81382.0,Yes
Jennifer,,Male,Teacher,49779.0,Yes
Curtis,43.0,,Teacher,53224.0,Yes
Katherine,23.0,Female,Nurse,77642.0,Yes
,40.0,Female,Lawyer,102966.0,No
Nathan,43.0,Female,Engineer,64416.0,Yes
Donald,53.0,Female,Artist,,No
Phillip,24.0,Male,Engineer,99618.0,No
Lisa,52.0,Female,,48792.0,Yes
Jeffrey,52.0,Male,Teacher,38693.0,Yes
Paula,24.0,Male,Nurse,59300.0,No
Michael,50.0,Female,Nurse,74844.0,No
Patricia,41.0,Female,Engineer,60400.0,No
Joseph,22.0,Male,Lawyer,82886.0,No
Tyler,23.0,Male,Artist,58212.0,Yes
,35.0,Female,Teacher,40918.0,Yes
Samuel,56.0,Female,Doctor,118804.0,No
Donna,29.0,,Lawyer,116443.0,Yes
Zachary,34.0,Female,,59259.0,Yes
Taylor,49.0,Female,Doctor,,Yes
Allison,34.0,Female,Doctor,116775.0,Yes
Megan,52.0,Male,,61209.0,No
Hailey,60.0,Female,Doctor,122873.0,Yes
Melinda,33.0,Female,Artist,45255.0,No
Desiree,,Female,Nurse,61326.0,Yes
Nathan,,Female,Doctor,98210.0,Yes
Jessica,38.0,Female,Artist,50992.0,No
Karen,29.0,Female,Teacher,,No
Alexandra,29.0,Female,Nurse,51471.0,Yes
Michael,34.0,Male,Engineer,98633.0,No
Robert,36.0,Male,Doctor,93809.0,No
Michael,25.0,Male,Teacher,43466.0,Yes
Kristy,52.0,,Teacher,43518.0,Yes
Luis,34.0,,Doctor,128121.0,Yes
Alexandra,,Male,Nurse,74696.0,Yes
Jay,,Male,Lawyer,99133.0,No
Katie,39.0,Male,Lawyer,70643.0,No
,,Female,Engineer,68538.0,Yes
,42.0,Male,Lawyer,90847.0,No
Justin,39.0,,Artist,,Yes
Michelle,33.0,,Lawyer,105427.0,Yes
Katrina,37.0,Female,Teacher,,Yes
,31.0,Female,,,No
Robert,48.0,Female,,91119.0,Yes
Cheryl,,Female,Teacher,,No
Jordan,25.0,,Doctor,114434.0,No
Eric,29.0,Female,Artist,41053.0,Yes
Lee,55.0,Male,Artist,,No
Richard,44.0,Male,Artist,44843.0,No
Matthew,30.0,Female,Doctor,100656.0,Yes
Ashley,34.0,Female,Engineer,69780.0,No
,,Male,Teacher,38948.0,No
,51.0,,,92104.0,No
Elizabeth,,Male,Doctor,,No
Jennifer,31.0,Female,Teacher,55491.0,No
Lisa,,Male,Engineer,68570.0,No
Martin,45.0,Male,,99693.0,No
Kathleen,58.0,Male,Doctor,95467.0,No
Kelly,60.0,Male,,52795.0,Yes
Carla,57.0,Male,Artist,49654.0,No
Brian,,Female,Engineer,66525.0,Yes
,32.0,Male,Teacher,36937.0,No
,24.0,Male,Teacher,43903.0,Yes
Kurt,50.0,Male,Lawyer,79478.0,No
Maria,48.0,Female,Artist,47041.0,Yes
Luis,51.0,Female,Engineer,65675.0,Yes
Caitlin,56.0,Male,Engineer,96910.0,No
Ashley,24.0,Male,Nurse,,Yes
Ariana,,Female,Engineer,64555.0,No
Samantha,,Female,,52331.0,Yes
Tanya,41.0,,,64208.0,No
,45.0,Female,Teacher,46176.0,No
Todd,23.0,Male,Lawyer,81443.0,Yes
Emily,44.0,,Teacher,,No
Linda,,,Engineer,77539.0,Yes
Craig,57.0,Male,,94157.0,No
Jordan,58.0,Male,Lawyer,94311.0,No
Linda,33.0,Male,Artist,68062.0,Yes
Kendra,22.0,Male,Nurse,79609.0,No
Kaitlin,33.0,Female,Teacher,48993.0,Yes
Kyle,45.0,,Doctor,108017.0,No
Stephanie,,,Nurse,50739.0,No
Paul,27.0,Female,Lawyer,107708.0,Yes
,46.0,Female,Lawyer,104914.0,No
Steven,49.0,Female,Artist,68023.0,No
Susan,26.0,Female,Nurse,51193.0,No
Jennifer,30.0,,,,Yes
Stephanie,,Female,Teacher,,Yes
Robert,52.0,Male,Teacher,58046.0,No
Timothy,22.0,Male,Lawyer,,Yes
Annette,54.0,,Lawyer,104667.0,No
Bobby,,Male,Doctor,84418.0,Yes
Judy,24.0,Female,Lawyer,103430.0,Yes
Paul,27.0,Male,Teacher,,Yes
David,54.0,Female,Engineer,85849.0,Yes
Richard,,Male,Engineer,96614.0,No
Michael,55.0,Male,Nurse,65109.0,Yes
Hannah,,Female,,99269.0,Yes
Seth,27.0,Female,Teacher,53913.0,No
Lisa,29.0,Male,Lawyer,,No
Alyssa,39.0,Male,Lawyer,96424.0,Yes
Hunter,22.0,,Artist,52859.0,Yes
Shane,,Male,Artist,42472.0,No
Sierra,52.0,Female,Nurse,50645.0,No
Sabrina,30.0,,,,No
John,28.0,Female,Nurse,70532.0,No
Dustin,48.0,Female,Teacher,47827.0,No
Tara,32.0,Male,Lawyer,71979.0,No
Carol,28.0,Female,Artist,60714.0,No
Alicia,26.0,Male,Doctor,100551.0,Yes
Mark,25.0,Female,Artist,52040.0,No
Nicholas,30.0,Female,Teacher,42226.0,Yes
Robert,60.0,Female,Artist,60670.0,Yes
Laura,22.0,Male,Artist,66775.0,No
Kristina,55.0,Male,Artist,,Yes
Joseph,24.0,Female,Artist,43292.0,No
John,23.0,Female,Doctor,118169.0,No
,60.0,Female,Lawyer,96739.0,No
Robin,51.0,Female,Doctor,103733.0,Yes
,56.0,Male,Doctor,103080.0,Yes
,26.0,Male,Teacher,49950.0,Yes
Micheal,53.0,Female,Teacher,46724.0,Yes
,24.0,Male,Artist,,Yes
Brent,24.0,Male,Artist,53018.0,Yes
Rachel,35.0,Male,Doctor,85591.0,No
Brian,31.0,Female,Artist,53979.0,No
Christina,41.0,Female,,77226.0,No
Julie,,Female,Artist,59001.0,No
,42.0,Female,Engineer,73943.0,No
Amanda,,Female,Nurse,54651.0,Yes
Diana,41.0,Male,Artist,55109.0,No
Katherine,41.0,Female,Doctor,91003.0,Yes
Samuel,36.0,Male,,50998.0,Yes
Hector,,Female,,56752.0,No
Catherine,57.0,Male,Lawyer,73082.0,Yes
Michael,,Female,Teacher,,Yes
Patrick,53.0,Male,Doctor,123468.0,No
Katherine,26.0,Female,Artist,,No
Amanda,44.0,Female,Doctor,136384.0,No
,,Female,Artist,41094.0,No
Kenneth,25.0,Male,Teacher,42580.0,No
Gregory,48.0,Male,Artist,59620.0,No
Michael,40.0,Female,Artist,50149.0,No
Christina,31.0,Female,Nurse,58784.0,Yes
Joseph,39.0,Male,Nurse,62890.0,Yes
Carlos,57.0,Female,Doctor,127975.0,No
Brenda,59.0,Female,Doctor,145525.0,No
Denise,42.0,Female,Engineer,67304.0,Yes
Alexander,,Female,Nurse,57853.0,Yes
Jill,44.0,Male,Artist,45323.0,No
Christina,,Male,Doctor,123598.0,Yes
Stephanie,52.0,Female,Engineer,66253.0,Yes
Mark,59.0,Male,Nurse,55791.0,No
Marissa,30.0,Male,Lawyer,90720.0,Yes
Kimberly,22.0,Male,Artist,53948.0,Yes
,,Female,Lawyer,86551.0,Yes
Cynthia,,Female,Lawyer,,Yes
Margaret,,Male,Lawyer,85510.0,No
Christine,49.0,Female,,94145.0,Yes
,54.0,Male,Artist,44427.0,Yes
Casey,26.0,Female,Artist,,No
Sean,31.0,Female,,131623.0,Yes
Amanda,29.0,,Nurse,66397.0,No
Patrick,57.0,Male,Doctor,131706.0,No
Paige,,Male,Teacher,59225.0,No
David,26.0,Male,Lawyer,,No
Natalie,49.0,Female,Doctor,85121.0,Yes
Dawn,45.0,Male,Lawyer,75936.0,No
Deanna,27.0,Female,Lawyer,99354.0,Yes
Alejandro,41.0,Female,Lawyer,113566.0,Yes
John,35.0,Female,Engineer,75854.0,Yes
Jose,52.0,Female,Lawyer,,Yes
Caroline,31.0,,Teacher,53441.0,Yes
Donald,29.0,,Lawyer,103279.0,Yes
Wendy,26.0,Male,Engineer,,Yes
,58.0,Male,Lawyer,,Yes
Denise,35.0,Male,Engineer,77552.0,Yes
Katherine,52.0,Female,Engineer,75547.0,Yes
Julia,57.0,Female,Lawyer,74841.0,Yes
Alison,25.0,Male,Artist,63688.0,Yes
Joseph,42.0,,Teacher,44065.0,Yes
Tracy,26.0,,Doctor,119634.0,Yes
Jacob,36.0,Male,Doctor,90685.0,No
Lauren,31.0,Female,Teacher,48290.0,Yes
Jennifer,26.0,Male,Doctor,99679.0,No
Matthew,41.0,Male,Teacher,40740.0,No
Jennifer,50.0,Male,Artist,47605.0,No
Daniel,27.0,Male,Lawyer,84634.0,No
Pamela,22.0,Male,Engineer,,No
Cynthia,60.0,Male,Doctor,124661.0,No
Robert,31.0,Male,Doctor,,Yes
James,32.0,,Nurse,76686.0,Yes
Anthony,38.0,,,,No
Kimberly,24.0,Female,,74585.0,Yes
Amy,32.0,Male,Nurse,77126.0,Yes
William,34.0,Male,Doctor,90838.0,Yes
Ashley,40.0,Male,Engineer,69847.0,No
Tiffany,58.0,Female,Engineer,80948.0,Yes
Daniel,,Female,Doctor,109422.0,No
Patricia,51.0,Male,,111916.0,Yes
Edward,,Male,Lawyer,86119.0,Yes
Jared,34.0,Male,,82000.0,Yes
Jessica,48.0,Female,Lawyer,72437.0,No
,59.0,Male,Lawyer,93397.0,Yes
Andrew,41.0,Female,,104260.0,Yes
,57.0,Male,Doctor,145339.0,No
Mary,34.0,Male,,86514.0,No
Michelle,57.0,Female,Teacher,51735.0,No
Kathy,30.0,Male,Teacher,,Yes
Jonathan,25.0,Male,,93259.0,No
Wesley,,Male,Doctor,131152.0,Yes
Christopher,37.0,Male,Lawyer,109489.0,No
Kathy,38.0,Female,Lawyer,,No
Roy,,Female,Artist,56950.0,No
Blake,60.0,Male,Engineer,72564.0,No
Allison,59.0,Female,Nurse,57401.0,No
,52.0,Male,Lawyer,71102.0,No
Ethan,55.0,Female,Teacher,40718.0,No
Natasha,53.0,Female,Artist,52588.0,No
Angela,35.0,Female,Doctor,100348.0,No
Candice,35.0,Female,Artist,67844.0,Yes
Dylan,30.0,Male,Teacher,35805.0,Yes
Mark,43.0,,Teacher,38995.0,No
Monica,43.0,Female,Artist,,Yes
Courtney,35.0,Female,,40180.0,Yes
Bridget,36.0,,Engineer,76149.0,No
Elizabeth,,Male,Teacher,58084.0,No
Christopher,42.0,Female,Doctor,112265.0,No
William,31.0,Male,Artist,54258.0,No
,44.0,Female,Doctor,99835.0,No
Jo,23.0,Male,,87288.0,No
Dorothy,31.0,,Nurse,53094.0,Yes
Morgan,42.0,Female,Lawyer,78832.0,Yes
Heidi,37.0,Female,Doctor,84814.0,Yes
Beth,60.0,Male,Nurse,50070.0,No
Thomas,43.0,Female,,40334.0,Yes
,31.0,Male,Teacher,50324.0,Yes
George,38.0,Male,,96050.0,No
Edwin,32.0,Male,Teacher,48566.0,Yes
Kevin,22.0,Female,Nurse,74125.0,Yes
